Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27848300_1	(1.0, 40.94448859838484)	(2.0, 19.480903951872474)	(3.0, 9.60430934477755)	(4.0, 5.24485702359106)	(5.0, 3.0665461512210133)	(6.0, 2.1041491942587967)	(7.0, 1.5556072010168436)	(8.0, 1.200123205134353)	(9.0, 0.9071559282645979)	('>10', 7.86364112085261)	('>50', 1.5639160300846322)	('>100', 2.791529104117748)	('>500', 1.0987957953993996)	('>1k', 1.5731145992288538)	('>5k', 0.4677873626111802)	('>10k+', 0.5330753891838198)
SRR27848300_2	(1.0, 48.662496565634214)	(2.0, 20.871431912162304)	(3.0, 9.344794762384678)	(4.0, 4.449974061919705)	(5.0, 2.310065236066508)	(6.0, 1.398244403593231)	(7.0, 1.004978624390432)	(8.0, 0.7248058853099111)	(9.0, 0.574078933072964)	('>10', 4.344976695634659)	('>50', 1.171891169048828)	('>100', 2.567856786578091)	('>500', 1.0632267339301318)	('>1k', 1.2426536995720487)	('>5k', 0.11881394453733557)	('>10k+', 0.14971058616486585)
SRR27848301_1	(1.0, 37.22717507406342)	(2.0, 17.98069814998876)	(3.0, 8.821785236073222)	(4.0, 4.914083121202166)	(5.0, 3.054383129397176)	(6.0, 2.2102858684135906)	(7.0, 1.703564644860571)	(8.0, 1.3023469032831414)	(9.0, 1.0677358934453127)	('>10', 10.273750465250988)	('>50', 2.2598068713365844)	('>100', 3.451842931617921)	('>500', 1.288267643716903)	('>1k', 2.292874201069891)	('>5k', 0.8588068307914032)	('>10k+', 1.2925930354889639)
SRR27848301_2	(1.0, 43.19712824901502)	(2.0, 19.643819630497223)	(3.0, 9.011041239003058)	(4.0, 4.661166873778068)	(5.0, 2.7504827071431652)	(6.0, 1.7716598843583398)	(7.0, 1.382005991341025)	(8.0, 1.0061680698060451)	(9.0, 0.8218519772084494)	('>10', 6.736373956610807)	('>50', 1.548570575060879)	('>100', 2.898334997462162)	('>500', 1.0956227257959275)	('>1k', 2.193132077770599)	('>5k', 0.9470178902047538)	('>10k+', 0.3356231549445977)
SRR27848302_1	(1.0, 37.742216814576736)	(2.0, 18.547451447270447)	(3.0, 9.250767058862813)	(4.0, 5.027064843104055)	(5.0, 3.083763395545021)	(6.0, 2.186431476312985)	(7.0, 1.5480534761248563)	(8.0, 1.2494029137458647)	(9.0, 1.0204139543054676)	('>10', 9.47300462632131)	('>50', 1.9852778708329164)	('>100', 3.034264066803179)	('>500', 1.119062302499514)	('>1k', 2.103605956143987)	('>5k', 0.9737273500547952)	('>10k+', 1.6554924474960035)
SRR27848302_2	(1.0, 43.464478666935705)	(2.0, 20.038471852479894)	(3.0, 9.412572848179718)	(4.0, 4.762551625477491)	(5.0, 2.682142585640685)	(6.0, 1.7204903072015494)	(7.0, 1.2599797291788053)	(8.0, 0.9353691850141536)	(9.0, 0.7551347071300618)	('>10', 6.233697176096794)	('>50', 1.425618284244416)	('>100', 2.435809756425844)	('>500', 0.9000404599820988)	('>1k', 2.294744154453656)	('>5k', 1.2861279713546276)	('>10k+', 0.3927706902045494)
SRR27848303_1	(1.0, 36.26639346744006)	(2.0, 17.22485753345365)	(3.0, 8.414260592930281)	(4.0, 4.716379162073899)	(5.0, 3.0195129667244514)	(6.0, 2.123911195144581)	(7.0, 1.6086075708336165)	(8.0, 1.3119334495287749)	(9.0, 1.1409433939163456)	('>10', 10.72664492800834)	('>50', 2.4099765806901323)	('>100', 4.006586401001393)	('>500', 1.4845895725030427)	('>1k', 3.2646133507869814)	('>5k', 0.7740131843518656)	('>10k+', 1.5067766506122895)
SRR27848303_2	(1.0, 42.349087312870665)	(2.0, 18.866037940591056)	(3.0, 8.611437742052619)	(4.0, 4.478530952306435)	(5.0, 2.647080182775272)	(6.0, 1.8399443533000788)	(7.0, 1.339162031955625)	(8.0, 1.0724890309090018)	(9.0, 0.8665493495552185)	('>10', 6.977797609128013)	('>50', 1.563012162630133)	('>100', 3.7114060468368044)	('>500', 1.7481968393104674)	('>1k', 2.5508884924323674)	('>5k', 0.7930588129921766)	('>10k+', 0.5853211403540732)
SRR27848304_1	(1.0, 33.9248488380136)	(2.0, 16.159047733640435)	(3.0, 8.167153917044422)	(4.0, 4.663939539515898)	(5.0, 3.0096322967538636)	(6.0, 2.2462170477646377)	(7.0, 1.691785920149416)	(8.0, 1.3731943825475414)	(9.0, 1.1410516488774909)	('>10', 11.857537945949653)	('>50', 2.675323044450003)	('>100', 4.605900008571156)	('>500', 1.7533129143667634)	('>1k', 3.6738617060965475)	('>5k', 1.0025611801829122)	('>10k+', 2.0546318760756415)
SRR27848304_2	(1.0, 39.167316336627856)	(2.0, 17.831928477168002)	(3.0, 8.801842423669)	(4.0, 4.878503235194774)	(5.0, 2.9063945241276854)	(6.0, 2.0694782443546673)	(7.0, 1.506943503745469)	(8.0, 1.1916121902620054)	(9.0, 0.8647348262845833)	('>10', 7.558711010256289)	('>50', 1.8549611848795315)	('>100', 4.344093940495158)	('>500', 1.919816962486807)	('>1k', 3.1058960469335966)	('>5k', 1.1514037096181116)	('>10k+', 0.8463633838963855)
SRR27848305_1	(1.0, 37.36603665813636)	(2.0, 16.930401993302276)	(3.0, 8.04912409096731)	(4.0, 4.335685019409312)	(5.0, 2.929145745840023)	(6.0, 1.9980614452790522)	(7.0, 1.5627469124487696)	(8.0, 1.2807714197144786)	(9.0, 1.0507259049590443)	('>10', 10.579664565977525)	('>50', 2.380407165931446)	('>100', 4.2858468114428865)	('>500', 1.6975058294049081)	('>1k', 3.5303943852907027)	('>5k', 0.927026556147807)	('>10k+', 1.0964554957480184)
SRR27848305_2	(1.0, 43.6964754737864)	(2.0, 18.367211454589764)	(3.0, 8.188052718762268)	(4.0, 4.157561675653244)	(5.0, 2.534766323367968)	(6.0, 1.7118483268839049)	(7.0, 1.310371685462918)	(8.0, 1.0106446008672132)	(9.0, 0.8084923354948705)	('>10', 6.863859611700305)	('>50', 1.5853518793315806)	('>100', 4.141573000721113)	('>500', 1.9320064823988914)	('>1k', 2.694558825895336)	('>5k', 0.7521826885131202)	('>10k+', 0.24504291657102936)
SRR27848306_1	(1.0, 36.53002501745065)	(2.0, 17.680341450502784)	(3.0, 8.859670426373395)	(4.0, 4.945615162328567)	(5.0, 3.167293996480997)	(6.0, 2.188664562686133)	(7.0, 1.6849771505040796)	(8.0, 1.3216901669899261)	(9.0, 1.0929351105256244)	('>10', 10.399731713201863)	('>50', 2.242402683432492)	('>100', 3.817888273466547)	('>500', 1.4767667071353523)	('>1k', 2.8651302746630645)	('>5k', 0.8805282280423977)	('>10k+', 0.8463390762160471)
SRR27848306_2	(1.0, 43.00426725998918)	(2.0, 19.340007329526802)	(3.0, 8.98001296608611)	(4.0, 4.650404557340846)	(5.0, 2.6780992304301128)	(6.0, 1.7916162479746784)	(7.0, 1.3641700073522633)	(8.0, 1.0310925193434022)	(9.0, 0.8715798610779764)	('>10', 6.553803370499072)	('>50', 1.4622192116470718)	('>100', 3.6609652988447574)	('>500', 1.5665616096857768)	('>1k', 2.3486331421102973)	('>5k', 0.5742794963674135)	('>10k+', 0.12228789172421536)
SRR27848307_1	(1.0, 34.76673779558575)	(2.0, 16.754915994002204)	(3.0, 8.52044533493465)	(4.0, 4.818539725840225)	(5.0, 3.0436664214830795)	(6.0, 2.1441295704339685)	(7.0, 1.7370707716271294)	(8.0, 1.3910697182350984)	(9.0, 1.2177668607555807)	('>10', 11.958097962552472)	('>50', 2.7029345730624748)	('>100', 4.394102461370856)	('>500', 1.6008624364629003)	('>1k', 3.2112150386966465)	('>5k', 0.9241023337921676)	('>10k+', 0.8143430011646342)
SRR27848307_2	(1.0, 40.67184207796701)	(2.0, 18.908011863274037)	(3.0, 8.874892115500058)	(4.0, 4.694757741053325)	(5.0, 2.8668366116878707)	(6.0, 2.019115417489339)	(7.0, 1.5793640063557226)	(8.0, 1.1666252269706978)	(9.0, 0.9223641255925439)	('>10', 7.726146410904344)	('>50', 1.6602451917996623)	('>100', 3.945955108448629)	('>500', 1.6809212590433262)	('>1k', 2.4646528731376387)	('>5k', 0.6758828357533049)	('>10k+', 0.14238713502269876)
SRR27848308_1	(1.0, 33.38516504596127)	(2.0, 16.38159162377978)	(3.0, 8.511727085669579)	(4.0, 5.005342861551555)	(5.0, 3.2666641023067196)	(6.0, 2.278258504303028)	(7.0, 1.8341961491243441)	(8.0, 1.4234918068395541)	(9.0, 1.2400532147186205)	('>10', 12.48650312965547)	('>50', 2.850477400079763)	('>100', 4.151228528845894)	('>500', 1.2986991516027204)	('>1k', 2.657795287274469)	('>5k', 1.125683436328615)	('>10k+', 2.1031226719585523)
SRR27848308_2	(1.0, 38.590060855007515)	(2.0, 18.50669576827193)	(3.0, 9.137641509221844)	(4.0, 5.000629251523887)	(5.0, 3.1809916108063536)	(6.0, 2.0800742375817105)	(7.0, 1.5930005185299863)	(8.0, 1.2652162610284943)	(9.0, 0.9833671683550014)	('>10', 8.64316439678264)	('>50', 1.8410795738094767)	('>100', 3.214857057299044)	('>500', 1.1666849123975869)	('>1k', 2.6795630580864516)	('>5k', 1.2910025281133102)	('>10k+', 0.8259712931847104)
SRR27848309_1	(1.0, 35.94791517210724)	(2.0, 17.254621756842738)	(3.0, 8.317049198461152)	(4.0, 4.658154271546558)	(5.0, 3.0419420815206992)	(6.0, 2.090037545903777)	(7.0, 1.671814483948702)	(8.0, 1.3412151094795872)	(9.0, 1.1407036451594332)	('>10', 11.038620772898303)	('>50', 2.38800768871987)	('>100', 4.227235701939329)	('>500', 1.6201256014540435)	('>1k', 2.9068347770000105)	('>5k', 1.0187342449023882)	('>10k+', 1.336987948116169)
SRR27848309_2	(1.0, 42.04906406072045)	(2.0, 18.791906288944745)	(3.0, 8.676841549899274)	(4.0, 4.60726850909607)	(5.0, 2.762941930477323)	(6.0, 1.8965953178568937)	(7.0, 1.3669498684473917)	(8.0, 1.114285078812217)	(9.0, 0.8596824497959961)	('>10', 7.0805560660765625)	('>50', 1.6392549460309884)	('>100', 3.8320012210777743)	('>500', 1.539200591134425)	('>1k', 2.529541057383132)	('>5k', 0.8098324303665104)	('>10k+', 0.44407863388020363)
