Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR29492938_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00020155791660662688)	(4, 0.00026276157621548844)	(5, 0.00029497402864120506)	(6, 0.00032948737052590146)	(7, 0.00036492106819418975)	(8, 0.00039437245326913066)	(9, 0.0004224433046686837)	(10, 0.000521197480248095)	(15, 0.0006402915186448872)	(20, 0.0007511943905677117)	(25, 0.0008860265128639256)	(30, 0.0010431312451230634)	(35, 0.0012317121451810443)	(40, 0.0014683356171425227)	(45, 0.0017729733815114433)	(50, 0.0021512396085677154)	(55, 0.002669399914729957)	(60, 0.003207163799082706)	(65, 0.003990846748811212)	(70, 0.009402354685174887)	(75, 0.014614513558812553)	(80, 0.01746770852352581)	(85, 0.020329278725869763)	(90, 0.024509994872835984)	(95, 0.03091097731213931)	(100, 0.03975762117518141)	(105, 0.049380677177261634)	(110, 0.06092451569969816)	(115, 0.07448181656989869)	(120, 0.09031000330053389)	(125, 0.10907495330103249)	(130, 0.13092309517656397)	(135, 0.1570692065258913)	(140, 0.1751022896072776)
SRR29492938_2 - illumina_universal_adapter	(1, 0.0050035142174973835)	(2, 0.005251089923283605)	(3, 0.00730118243123457)	(4, 0.007463165049146746)	(5, 0.008064617553724054)	(6, 0.00912348688274654)	(7, 0.00989198396204578)	(8, 0.010598817203844361)	(9, 0.0112877035078629)	(10, 0.013867828911584442)	(15, 0.02024764316786516)	(20, 0.043103390555273055)	(25, 0.07972977728351809)	(30, 0.09752660503525637)	(35, 0.10715260617584407)	(40, 0.11702112106540827)	(45, 0.12844328855325393)	(50, 0.14177326154490727)	(55, 0.1571929943787844)	(60, 0.17500583632115718)	(65, 0.19623513096780146)	(70, 0.2219861335792328)	(75, 0.2538469180600389)	(80, 0.293559349766246)	(85, 0.344330684532515)	(90, 0.41052782648083275)	(95, 0.4991520140925614)	(100, 0.6200070612456784)	(105, 0.7848180245164098)	(110, 1.0104049580633674)	(115, 1.312548650294332)	(120, 1.7181044387254658)	(125, 2.2465948182027433)	(130, 2.9225818757363506)	(135, 3.7528074935478344)	(140, 4.327205035439519)
SRR29492938_2 - polya	(1, 0.017039006799528706)	(2, 0.04833938664370575)	(3, 0.14303341268380132)	(4, 0.2877653419662215)	(5, 0.43685515588394935)	(6, 0.5681982094045663)	(7, 0.6924706296177384)	(8, 0.8124831830865555)	(9, 0.9308901758908965)	(10, 1.2768415149227386)	(15, 1.8125039509148124)	(20, 2.299202814970748)	(25, 2.7587484223433725)	(30, 3.2017438238731337)	(35, 3.6354959081971243)	(40, 4.05783364805743)	(45, 4.471628093320966)	(50, 4.883319433583415)	(55, 5.299308651284083)	(60, 5.715784737194269)	(65, 6.130690880208806)	(70, 6.54762935286467)	(75, 6.968130798865554)	(80, 7.37862245536409)	(85, 7.771857072777967)	(90, 8.153046902016396)	(95, 8.537459817208966)	(100, 8.919633874922372)	(105, 9.293537891671152)	(110, 9.661516841956326)	(115, 10.01818268691401)	(120, 10.360875506294045)	(125, 10.691119961487528)	(130, 11.011408467992009)	(135, 11.325850046238907)	(140, 11.51195877862658)
SRR29492938_2 - polyg	(1, 0.05483433740851382)	(2, 0.05661062407084619)	(3, 0.0569957929662794)	(4, 0.057233244758446114)	(5, 0.05743158142981017)	(6, 0.05765108628419684)	(7, 0.057858626513396814)	(8, 0.058079972079350665)	(9, 0.05831052120314044)	(10, 0.058685198042640704)	(15, 0.05930432137826297)	(20, 0.05981300201985422)	(25, 0.06031763309599766)	(30, 0.060818582749006735)	(35, 0.061364905942146886)	(40, 0.061942153089615724)	(45, 0.06258382514193601)	(50, 0.06329756105211151)	(55, 0.06405602625336962)	(60, 0.06486630748524391)	(65, 0.06578960840734331)	(70, 0.06671428986311811)	(75, 0.07204268967222342)	(80, 0.07782169567297535)	(85, 0.08138043538139017)	(90, 0.08470512861403756)	(95, 0.08927911278733261)	(100, 0.0961670554717344)	(105, 0.10557695707433475)	(110, 0.11555011641649333)	(115, 0.12687693504515887)	(120, 0.1396609529859855)	(125, 0.15489008013708072)	(130, 0.17256210764456395)	(135, 0.1932416737816688)	(140, 0.2072599808638705)
SRR29492939_1 - illumina_universal_adapter	(1, 0.002106176517620723)	(2, 0.0021220721894518227)	(3, 0.0021247214680903395)	(4, 0.0021273707467288562)	(5, 0.0021273707467288562)	(6, 0.0021273707467288562)	(7, 0.002130020025367373)	(8, 0.002130020025367373)	(9, 0.0021326693040058893)	(10, 0.002158102378935649)	(15, 0.0022349314594526312)	(20, 0.0027356451221322753)	(25, 0.00423831596589891)	(30, 0.00811368075832104)	(35, 0.014087804088176049)	(40, 0.023711043814723866)	(45, 0.036158414569930415)	(50, 0.05312174569235241)	(55, 0.08001828214202868)	(60, 0.1244943719254459)	(65, 0.17658183923732143)	(70, 0.23156973680264495)	(75, 0.3025258964337637)	(80, 0.3935969690556837)	(85, 0.5086206997041604)	(90, 0.6712556764768748)	(95, 0.9123792419057384)	(100, 1.220836873211141)	(105, 1.606869092042404)	(110, 2.075770746686468)	(115, 2.6532032798917315)	(120, 3.3288604678986373)	(125, 4.084154971779354)	(130, 4.909811137164706)	(135, 5.801148218556163)	(140, 6.3874558352004565)
SRR29492939_1 - polya	(1, 0.2663823178242089)	(2, 0.27541900726018914)	(3, 0.2807175645372224)	(4, 0.28999268905066916)	(5, 0.29592972247958493)	(6, 0.3010719723169457)	(7, 0.30783293140244017)	(8, 0.32465055219974376)	(9, 0.3472912874445069)	(10, 0.3829240851325556)	(15, 0.443334526215195)	(20, 0.4897530670963726)	(25, 0.5306097124038484)	(30, 0.572904386156311)	(35, 0.6128820008115271)	(40, 0.6631499435544693)	(45, 0.7169260610705352)	(50, 0.7731267983965717)	(55, 0.8417399359997864)	(60, 0.897238614486616)	(65, 0.9596153501747622)	(70, 1.025740285280682)	(75, 1.0881212598146501)	(80, 1.1464811592310775)	(85, 1.2189150864867608)	(90, 1.2876124711506802)	(95, 1.358750371296401)	(100, 1.4170307923536734)	(105, 1.4777919979280523)	(110, 1.540588909208267)	(115, 1.6065109095704766)	(120, 1.6717584035913198)	(125, 1.7394691968902556)	(130, 1.813432287776091)	(135, 1.8901326133512408)	(140, 1.9328580598103264)
SRR29492939_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.298557277033266e-05)	(4, 0.0003285105511760625)	(5, 0.00038944395986194503)	(6, 0.0004371309753552444)	(7, 0.0004768701549329939)	(8, 0.0005669456286425595)	(9, 0.0006914617246528412)	(10, 0.0011238239984587557)	(15, 0.0018423083652244667)	(20, 0.0027393541122261987)	(25, 0.003672430048711757)	(30, 0.0051724516138398745)	(35, 0.0073316137042309295)	(40, 0.009717554046079008)	(45, 0.012593081080324964)	(50, 0.01572505828677933)	(55, 0.018835841264125554)	(60, 0.022390643341287174)	(65, 0.02682765520507483)	(70, 0.031977852878351164)	(75, 0.0384346747761439)	(80, 0.048067451905790384)	(85, 0.058086493860932585)	(90, 0.06883673672030537)	(95, 0.08126715209222543)	(100, 0.09572161634397217)	(105, 0.11729628186459622)	(110, 0.14589259548874475)	(115, 0.1788231289655065)	(120, 0.2174962388191169)	(125, 0.25064772213433095)	(130, 0.28965940979794375)	(135, 0.3393455709518678)	(140, 0.37922039359590937)
SRR29492939_2 - illumina_universal_adapter	(1, 0.0021697592049451223)	(2, 0.0022094983845228717)	(3, 0.002222744777715455)	(4, 0.002243939006823588)	(5, 0.002243939006823588)	(6, 0.002243939006823588)	(7, 0.002246588285462105)	(8, 0.002246588285462105)	(9, 0.002249237564100621)	(10, 0.002309111261331097)	(15, 0.0024055450037731027)	(20, 0.002932221597110209)	(25, 0.004522848491675595)	(30, 0.008574125385695231)	(35, 0.014785624081561328)	(40, 0.02482744983299477)	(45, 0.03784335578402699)	(50, 0.055573918000163404)	(55, 0.08330656678815553)	(60, 0.128889525186745)	(65, 0.1825792762191954)	(70, 0.23971838803899442)	(75, 0.3139183244351128)	(80, 0.4085632739403919)	(85, 0.5275259520686151)	(90, 0.6867963449704133)	(95, 0.9190972826772889)	(100, 1.2239079170089093)	(105, 1.6286164905302596)	(110, 2.1202664411318097)	(115, 2.747224059349776)	(120, 3.4684387726803423)	(125, 4.265982912576666)	(130, 5.122591660007263)	(135, 6.047434698195767)	(140, 6.654267336164105)
SRR29492939_2 - polya	(1, 0.22691336466758813)	(2, 0.23459097416200933)	(3, 0.24227123293506905)	(4, 0.255644791502301)	(5, 0.26326676614531336)	(6, 0.2705151925002949)	(7, 0.2803175234628064)	(8, 0.29402754041713)	(9, 0.3196964011457176)	(10, 0.3704078331327476)	(15, 0.42219010354546604)	(20, 0.4714269470422977)	(25, 0.5284924089159458)	(30, 0.5853300328266817)	(35, 0.6378805940445701)	(40, 0.6812439867998101)	(45, 0.7259749371882528)	(50, 0.767064719015918)	(55, 0.8128447837452132)	(60, 0.8528462419081759)	(65, 0.8954657172217205)	(70, 0.943554363356619)	(75, 0.9976658795483214)	(80, 1.0465111596623804)	(85, 1.0967059823148992)	(90, 1.1513764962993287)	(95, 1.202726404438241)	(100, 1.249889392616842)	(105, 1.2983849679506165)	(110, 1.3513053684664418)	(115, 1.3998396232683388)	(120, 1.4453060134068336)	(125, 1.4900072918745246)	(130, 1.5410546523929185)	(135, 1.596319664503831)	(140, 1.6246197887761933)
SRR29492939_2 - polyg	(1, 0.19203826067015517)	(2, 0.19425305761195508)	(3, 0.19487298881336795)	(4, 0.19531541834600025)	(5, 0.19573400437088587)	(6, 0.19617908318215665)	(7, 0.19652878796244086)	(8, 0.1971752119502389)	(9, 0.1978587258389762)	(10, 0.1998499236636853)	(15, 0.2019857721020574)	(20, 0.20349374150310107)	(25, 0.20495773287874539)	(30, 0.20659710650025948)	(35, 0.20849504971689278)	(40, 0.21104524533432892)	(45, 0.21786130941550447)	(50, 0.23085019272442384)	(55, 0.24314867402014576)	(60, 0.24838523817703773)	(65, 0.25235014858744165)	(70, 0.25845514628203947)	(75, 0.26574384167232645)	(80, 0.27232041096458015)	(85, 0.2787867702654715)	(90, 0.28612951093998423)	(95, 0.29593608074831734)	(100, 0.3087220293135263)	(105, 0.3326450154193315)	(110, 0.3587563056805515)	(115, 0.3899992486645781)	(120, 0.43122308399135234)	(125, 0.4711466533623426)	(130, 0.5194641971716089)	(135, 0.586994309667398)	(140, 0.6387490275822757)
SRR29492940_1 - illumina_universal_adapter	(1, 0.006547086501007014)	(2, 0.006561843269979982)	(3, 0.006591356807925919)	(4, 0.006596275730916909)	(5, 0.006596275730916909)	(6, 0.006601194653907899)	(7, 0.006601194653907899)	(8, 0.006601194653907899)	(9, 0.006601194653907899)	(10, 0.00661939466897456)	(15, 0.006728102867075428)	(20, 0.00758793060590039)	(25, 0.00985358653555015)	(30, 0.01499386106113417)	(35, 0.022949235214461478)	(40, 0.0351053696020938)	(45, 0.050850350203952066)	(50, 0.0716214863180034)	(55, 0.10226490087497064)	(60, 0.14581901260638802)	(65, 0.19980763567859136)	(70, 0.25909787395048317)	(75, 0.3351695098984348)	(80, 0.4311367136680416)	(85, 0.5512651752770896)	(90, 0.7152812515963441)	(95, 0.9540015032720554)	(100, 1.2575334842770438)	(105, 1.6416049589826998)	(110, 2.1086222645162147)	(115, 2.69095781686589)	(120, 3.379255824502862)	(125, 4.14989070030141)	(130, 4.998245543142188)	(135, 5.922465919057598)	(140, 6.5386210345395215)
SRR29492940_1 - polya	(1, 0.19144940173230202)	(2, 0.19980419243249767)	(3, 0.20528141318296447)	(4, 0.2151881240868173)	(5, 0.2213293994410677)	(6, 0.22737967471998477)	(7, 0.2342464912154061)	(8, 0.2502674233970589)	(9, 0.2702923588933771)	(10, 0.303290461886131)	(15, 0.36640614656811543)	(20, 0.41589690645735794)	(25, 0.4625578099498844)	(30, 0.5151081399395223)	(35, 0.5620563085347225)	(40, 0.6252964419683789)	(45, 0.6843987773820149)	(50, 0.750018685758712)	(55, 0.8392991056143677)	(60, 0.9068039452812119)	(65, 0.9859602378368131)	(70, 1.0641839025933226)	(75, 1.1317359639208804)	(80, 1.2056196629224398)	(85, 1.2983310315643108)	(90, 1.3979466005163346)	(95, 1.5121999005049447)	(100, 1.5855592423156648)	(105, 1.6562156359428362)	(110, 1.7303285567557753)	(115, 1.8059014139124407)	(120, 1.882746796446875)	(125, 1.9656035947685975)	(130, 2.0544295061398854)	(135, 2.1458358845122474)	(140, 2.195049709037097)
SRR29492940_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 5.4108152900884415e-05)	(4, 0.00035416245535124346)	(5, 0.0003836759932971804)	(6, 0.0004697571456394965)	(7, 0.0005509193749908231)	(8, 0.0007009465262160027)	(9, 0.0009001629073510771)	(10, 0.001288757823639247)	(15, 0.002115628778424581)	(20, 0.0031751647906837167)	(25, 0.0043571819854184915)	(30, 0.006238178137172873)	(35, 0.008736499124296438)	(40, 0.011417804046684809)	(45, 0.014639698605782925)	(50, 0.018262485388646686)	(55, 0.021797223449971738)	(60, 0.02559266442981923)	(65, 0.03018546282650612)	(70, 0.03563021868523238)	(75, 0.04367216588320111)	(80, 0.05871374049734788)	(85, 0.07174052425438535)	(90, 0.08508851368273444)	(95, 0.10068936984095671)	(100, 0.11904826612022679)	(105, 0.14748800317723076)	(110, 0.1855604671274894)	(115, 0.22738065850458294)	(120, 0.2759486284407159)	(125, 0.3166300891453954)	(130, 0.36162888855926645)	(135, 0.41540403037366075)	(140, 0.45541602565926664)
SRR29492940_2 - illumina_universal_adapter	(1, 0.006665140652790762)	(2, 0.006682356883259225)	(3, 0.006694654190736699)	(4, 0.0067094109597096675)	(5, 0.0067094109597096675)	(6, 0.006714329882700657)	(7, 0.0067167893441961515)	(8, 0.0067167893441961515)	(9, 0.0067167893441961515)	(10, 0.006735973143861011)	(15, 0.006846648911158273)	(20, 0.007596292774985072)	(25, 0.010002629902177134)	(30, 0.01548526146793402)	(35, 0.02384054406042877)	(40, 0.03648119236267357)	(45, 0.05283415184621813)	(50, 0.07432836963994491)	(55, 0.10600377424042176)	(60, 0.1508318870265054)	(65, 0.20680086849488113)	(70, 0.2685746709849236)	(75, 0.34839059111361637)	(80, 0.44879564720569387)	(85, 0.5740471671098575)	(90, 0.7382363895183948)	(95, 0.9755881968180127)	(100, 1.284065171105843)	(105, 1.6955207819946367)	(110, 2.1955957094890968)	(115, 2.836837332225067)	(120, 3.5826828037182237)	(125, 4.410295532090599)	(130, 5.30472936983407)	(135, 6.277424256148783)	(140, 6.9207795400939816)
SRR29492940_2 - polya	(1, 0.17330841374153277)	(2, 0.18179601536248516)	(3, 0.1893637783841225)	(4, 0.20373195244080278)	(5, 0.21222693244624163)	(6, 0.2208202909115003)	(7, 0.23141811049558714)	(8, 0.24583301432068186)	(9, 0.2687527359971974)	(10, 0.3166487810527612)	(15, 0.3696162357120351)	(20, 0.4199259962792774)	(25, 0.47691663805288176)	(30, 0.5327055869397872)	(35, 0.5855967982927008)	(40, 0.6300284458857107)	(45, 0.6763902788603849)	(50, 0.7196561417045303)	(55, 0.7665654508081016)	(60, 0.8069360355797505)	(65, 0.849799530523233)	(70, 0.8986429601468613)	(75, 0.951484982269865)	(80, 0.9990027621474216)	(85, 1.0485997707732697)	(90, 1.099918402445964)	(95, 1.150902547355271)	(100, 1.1982766946814907)	(105, 1.2483685469602324)	(110, 1.30478957745148)	(115, 1.3558922684048695)	(120, 1.4028738856764087)	(125, 1.4481215825936236)	(130, 1.4979315805849815)	(135, 1.550957570427848)	(140, 1.5791316856433386)
SRR29492940_2 - polyg	(1, 0.4236840534443934)	(2, 0.4274642457629689)	(3, 0.4284455708996713)	(4, 0.42895467942923865)	(5, 0.42946870688179706)	(6, 0.4301155452551122)	(7, 0.43065416732262557)	(8, 0.4317412493036342)	(9, 0.4326955203638862)	(10, 0.435533247037388)	(15, 0.43844426566345557)	(20, 0.4402534455395415)	(25, 0.44207934975379687)	(30, 0.4440046162124701)	(35, 0.4460887638837524)	(40, 0.4489363284032362)	(45, 0.45638800484228625)	(50, 0.46968434557922983)	(55, 0.4825527400159575)	(60, 0.4887377937848276)	(65, 0.49404334412290896)	(70, 0.5027611513398397)	(75, 0.5169237144154966)	(80, 0.5299480387110386)	(85, 0.5435262337353659)	(90, 0.5594960091179125)	(95, 0.5786852195980615)	(100, 0.6012497950346276)	(105, 0.6357442344012406)	(110, 0.6693488405987835)	(115, 0.7109939183173977)	(120, 0.7635791726602719)	(125, 0.8122233859027652)	(130, 0.869152541138982)	(135, 0.9402009729285352)	(140, 0.9946578774694808)
SRR29492941_1 - illumina_universal_adapter	(1, 0.003925524778212114)	(2, 0.00393770828155852)	(3, 0.003940144982227802)	(4, 0.003945018383566364)	(5, 0.003947455084235645)	(6, 0.003947455084235645)	(7, 0.003947455084235645)	(8, 0.003947455084235645)	(9, 0.003952328485574208)	(10, 0.003961100607983621)	(15, 0.004056619274219446)	(20, 0.004631680632169824)	(25, 0.006237466373226176)	(30, 0.010236092171516728)	(35, 0.01651205841531755)	(40, 0.026270557255655146)	(45, 0.03879129997468998)	(50, 0.05526632053983447)	(55, 0.08004854102669262)	(60, 0.1163256532508182)	(65, 0.15972914025232376)	(70, 0.20572673878634617)	(75, 0.26638645258756777)	(80, 0.3426118102641581)	(85, 0.43980059113870895)	(90, 0.5730739848845122)	(95, 0.7657775332738177)	(100, 1.0152167327065342)	(105, 1.3343202295937344)	(110, 1.733080933380141)	(115, 2.2327376144393427)	(120, 2.8269036803171534)	(125, 3.505598892412331)	(130, 4.265200364169788)	(135, 5.101441432717614)	(140, 5.650455435193643)
SRR29492941_1 - polya	(1, 0.37633379816647533)	(2, 0.3878983795428842)	(3, 0.394428737336558)	(4, 0.40538170684497726)	(5, 0.4118803875299504)	(6, 0.41829865709283726)	(7, 0.42556733518930323)	(8, 0.4437938561955271)	(9, 0.46879440506235287)	(10, 0.5094931543209562)	(15, 0.5764268850054431)	(20, 0.6284431341925903)	(25, 0.6761951572084952)	(30, 0.7259311419093291)	(35, 0.7730627809348348)	(40, 0.8321517974846377)	(45, 0.8956566029873121)	(50, 0.9630128575678526)	(55, 1.0478948380421316)	(60, 1.1171478204236405)	(65, 1.1931221979312947)	(70, 1.273059625407468)	(75, 1.3507089909551864)	(80, 1.4250273866879972)	(85, 1.5181975608187694)	(90, 1.6052696478545982)	(95, 1.6968496311285974)	(100, 1.7720535238846253)	(105, 1.8512345994730537)	(110, 1.9327149458130157)	(115, 2.0180954752442295)	(120, 2.1056193265841436)	(125, 2.194368351020572)	(130, 2.2877709863951936)	(135, 2.383532348017679)	(140, 2.4376534192429515)
SRR29492941_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.797442141700041e-05)	(4, 0.0003192077876758454)	(5, 0.0003703785017307519)	(6, 0.00042642261712422095)	(7, 0.0004751566305098462)	(8, 0.0005823714599582218)	(9, 0.0007090798947608475)	(10, 0.0010935912603734306)	(15, 0.00187138611400801)	(20, 0.0028007437492718833)	(25, 0.0038339048330471386)	(30, 0.005293488533946615)	(35, 0.0071424570017972365)	(40, 0.00912641868672604)	(45, 0.01158699902256626)	(50, 0.01428832538453147)	(55, 0.017073961589653804)	(60, 0.020318184860734882)	(65, 0.024094583557986982)	(70, 0.02852158133393718)	(75, 0.03410357522712669)	(80, 0.04367249875539421)	(85, 0.051878819269399655)	(90, 0.060508151019592324)	(95, 0.07033097875759894)	(100, 0.0821406922213375)	(105, 0.09945734919765173)	(110, 0.12241399354308435)	(115, 0.1495603010192792)	(120, 0.1832584092550375)	(125, 0.21504419480554385)	(130, 0.2532346043951891)	(135, 0.30054704661035564)	(140, 0.3363865273942783)
SRR29492941_2 - illumina_universal_adapter	(1, 0.004059543315022584)	(2, 0.004076600219707552)	(3, 0.004083910321715396)	(4, 0.004103403927069646)	(5, 0.004105840627738928)	(6, 0.004105840627738928)	(7, 0.004108277328408209)	(8, 0.00411071402907749)	(9, 0.00411071402907749)	(10, 0.0041477518792505655)	(15, 0.004234498423076978)	(20, 0.004790066175673105)	(25, 0.0065147629093903845)	(30, 0.010701989339483306)	(35, 0.01725184073851134)	(40, 0.027456255801327413)	(45, 0.040535002973627665)	(50, 0.05766159729773794)	(55, 0.08330299844058467)	(60, 0.12065372097959559)	(65, 0.16536620358063905)	(70, 0.2132000997390318)	(75, 0.2763642544881407)	(80, 0.3553299257374047)	(85, 0.4559656633787208)	(90, 0.5897010555714198)	(95, 0.7812666647481711)	(100, 1.032329194166763)	(105, 1.3663950078436176)	(110, 1.783212150929532)	(115, 2.3186532433375304)	(120, 2.945000814954539)	(125, 3.654872637432903)	(130, 4.436706078756749)	(135, 5.295086034905395)	(140, 5.858822582825223)
SRR29492941_2 - polya	(1, 0.31397375463822924)	(2, 0.32482194601786946)	(3, 0.3339035294122807)	(4, 0.3504852774667397)	(5, 0.35869939542288687)	(6, 0.3671547467452928)	(7, 0.3778664828874533)	(8, 0.39296915363565854)	(9, 0.42096440762503096)	(10, 0.47492270724559527)	(15, 0.5310560058835601)	(20, 0.58365901259187)	(25, 0.6448221487513651)	(30, 0.7066373460099598)	(35, 0.7629665553817347)	(40, 0.8116177209446045)	(45, 0.8622898860425761)	(50, 0.909604764958412)	(55, 0.9627423837935624)	(60, 1.0087536278513327)	(65, 1.0574861792165564)	(70, 1.1126058103761)	(75, 1.1742012172343257)	(80, 1.231170304201854)	(85, 1.2922603393412708)	(90, 1.3559693403600306)	(95, 1.4185140857990084)	(100, 1.4754627044809148)	(105, 1.5352018327692816)	(110, 1.5992134720111666)	(115, 1.6581977104321903)	(120, 1.7143924139270212)	(125, 1.769450152889565)	(130, 1.829385191911743)	(135, 1.8924577267156866)	(140, 1.9254613752606995)
SRR29492941_2 - polyg	(1, 0.18702164976867547)	(2, 0.18936088241118548)	(3, 0.1899944245851986)	(4, 0.19046958121570845)	(5, 0.1908545799214549)	(6, 0.19127369243657127)	(7, 0.1916343241356249)	(8, 0.19225568280629163)	(9, 0.1930403004218002)	(10, 0.19498137617494965)	(15, 0.19707450204986227)	(20, 0.19855504137651753)	(25, 0.20007213121321205)	(30, 0.20171008140310293)	(35, 0.20364287237397685)	(40, 0.20593873174457364)	(45, 0.21037937504427182)	(50, 0.21844387957932504)	(55, 0.22663850393011797)	(60, 0.23113714070574504)	(65, 0.2352493167552241)	(70, 0.24095753174308238)	(75, 0.24975207179865233)	(80, 0.25744327379117166)	(85, 0.2643079469166708)	(90, 0.2725313243353612)	(95, 0.28311537736245135)	(100, 0.2971346909930942)	(105, 0.32246565647067443)	(110, 0.3492898321183903)	(115, 0.3825751632607724)	(120, 0.4278724540224433)	(125, 0.4718739073681905)	(130, 0.5229627482806091)	(135, 0.5889924630167929)	(140, 0.639733830413772)
SRR29492942_1 - illumina_universal_adapter	(1, 0.010371618518255294)	(2, 0.010396747990436089)	(3, 0.010408170477790996)	(4, 0.010412739472732958)	(5, 0.010421877462616884)	(6, 0.010426446457558846)	(7, 0.010428730955029827)	(8, 0.01043329994997179)	(9, 0.010435584447442772)	(10, 0.010462541517600352)	(15, 0.010582249185079773)	(20, 0.012899186520149052)	(25, 0.014471834579172607)	(30, 0.017096265273835974)	(35, 0.02137330143900724)	(40, 0.027910162502473256)	(45, 0.036060335679946286)	(50, 0.046826715361187154)	(55, 0.06314990669084306)	(60, 0.08738842485795509)	(65, 0.11701698635810051)	(70, 0.14961996356546364)	(75, 0.19373315283061915)	(80, 0.2518599064822684)	(85, 0.3313924014370129)	(90, 0.44606640718887486)	(95, 0.620086631342396)	(100, 0.8538103693020378)	(105, 1.1649950199097383)	(110, 1.5690221046376143)	(115, 2.0855095170679716)	(120, 2.7152984091696255)	(125, 3.446556454741375)	(130, 4.28330574003063)	(135, 5.222983972673939)	(140, 5.8516374695325135)
SRR29492942_1 - polya	(1, 0.2832822553966284)	(2, 0.2915452827491679)	(3, 0.2972656644165052)	(4, 0.3070136151251826)	(5, 0.3129533085497341)	(6, 0.31878334609567843)	(7, 0.32564369200103543)	(8, 0.3422519886150698)	(9, 0.36461036536356417)	(10, 0.3998231524817764)	(15, 0.46038837873395116)	(20, 0.5090655370466333)	(25, 0.5537859457395756)	(30, 0.5996070253140366)	(35, 0.6433345914060906)	(40, 0.6980451075396343)	(45, 0.7553060366497817)	(50, 0.8167151562677368)	(55, 0.8928446637897076)	(60, 0.9550341677437502)	(65, 1.0247195647995766)	(70, 1.098439384389156)	(75, 1.1709086700631206)	(80, 1.2403912037435236)	(85, 1.326655198946262)	(90, 1.4092777051802556)	(95, 1.4953214748267913)	(100, 1.5651110449672943)	(105, 1.6386860274172137)	(110, 1.7157037475559018)	(115, 1.7958009702854727)	(120, 1.8783782434695415)	(125, 1.962555578682285)	(130, 2.0516820492161623)	(135, 2.1458545177639445)	(140, 2.196841303019788)
SRR29492942_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 8.452640642630966e-05)	(4, 0.00034495911811818265)	(5, 0.00039750255995075356)	(6, 0.00046375298660921246)	(7, 0.0005162964284417833)	(8, 0.0006190988146359438)	(9, 0.0008109966021983765)	(10, 0.001272921990830804)	(15, 0.002146056924239873)	(20, 0.003205606851281019)	(25, 0.0042916569489855495)	(30, 0.00592370194225462)	(35, 0.00818900963447972)	(40, 0.010688706767227505)	(45, 0.013399948365788162)	(50, 0.016532908197491973)	(55, 0.01964347995398017)	(60, 0.02322008919454856)	(65, 0.027635565906461296)	(70, 0.03297626409412148)	(75, 0.04107069553330257)	(80, 0.05745328379720397)	(85, 0.06823474116175332)	(90, 0.07868037739806841)	(95, 0.0895171196014155)	(100, 0.1027521272497988)	(105, 0.11894373152512619)	(110, 0.13989577163048444)	(115, 0.16368104549935378)	(120, 0.1912380246928133)	(125, 0.21592841645968547)	(130, 0.24603809312721955)	(135, 0.28355273989719265)	(140, 0.31160545504185505)
SRR29492942_2 - illumina_universal_adapter	(1, 0.01052011085386908)	(2, 0.010545240326049875)	(3, 0.010558947310875763)	(4, 0.010577223290643615)	(5, 0.010579507788114596)	(6, 0.01058864577799852)	(7, 0.010590930275469503)	(8, 0.010590930275469503)	(9, 0.010595499270411465)	(10, 0.010678654978355186)	(15, 0.010797905746340411)	(20, 0.011459039314442414)	(25, 0.01271185772752858)	(30, 0.015478384164886986)	(35, 0.02002910312708182)	(40, 0.027026061981203477)	(45, 0.035598410291313866)	(50, 0.046869663913641606)	(55, 0.06384439392202138)	(60, 0.08891995196250098)	(65, 0.11974421943895805)	(70, 0.15379328354545235)	(75, 0.19997805511729375)	(80, 0.26041900470704704)	(85, 0.3428747426256593)	(90, 0.4567715623378935)	(95, 0.628548409974911)	(100, 0.8635935012717683)	(105, 1.1918241582089428)	(110, 1.616263684739532)	(115, 2.171343569846671)	(120, 2.8366001989842986)	(125, 3.601588849715088)	(130, 4.464931056265049)	(135, 5.43308463608515)	(140, 6.080916489212615)
